symbol,shortName,longName,marketCap,regularMarketPrice,currency,mcap_cr
HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,11303436419072,733.2,INR,1130343.6
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,11162206863360,1789.2,INR,1116220.7
ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,9539388702720,1328.9,INR,953938.9
SBIN.NS,STATE BANK OF INDIA,State Bank of India,9046005383168,980.0,INR,904600.5
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Bajaj Finance Limited,6138175160320,986.7,INR,613817.5
LT.NS,LARSEN & TOUBRO LTD.,Larsen & Toubro Limited,5301487009792,3853.2,INR,530148.7
LICI.NS,LIFE INSURA CORP OF INDIA,Life Insurance Corporation of India,5123880255488,405.05,INR,512388.0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,4519908868096,1923.7,INR,451990.9
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Sun Pharmaceutical Industries Limited,4438769532928,1850.0,INR,443877.0
TITAN.NS,TITAN COMPANY LIMITED,Titan Company Limited,4296366358528,4842.0,INR,429636.6
ADANIPORTS.NS,ADANI PORT & SEZ LTD,Adani Ports and Special Economic Zone Limited,4109571719168,1783.7,INR,410957.2
INFY.NS,INFOSYS LIMITED,Infosys Limited,4039002816512,997.2,INR,403900.3
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Kotak Mahindra Bank Limited,3987608436736,400.85,INR,398760.8
ADANIENT.NS,ADANI ENTERPRISES LIMITED,Adani Enterprises Limited,4141564297216,2910.5,INR,414156.4
ADANIPOWER.NS,ADANI POWER LTD,Adani Power Limited,3885866156032,201.5,INR,388586.6
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Maruti Suzuki India Limited,3767800168448,11984.0,INR,376780.0
AXISBANK.NS,AXIS BANK LIMITED,Axis Bank Limited,3769915146240,1210.8,INR,376991.5
M&M.NS,MAHINDRA & MAHINDRA LTD,Mahindra & Mahindra Limited,3618376777728,3013.4,INR,361837.7
HCLTECH.NS,HCL TECHNOLOGIES LTD,HCL Technologies Limited,3404124913664,1258.1,INR,340412.5
ITC.NS,ITC LTD,ITC Limited,3358178672640,268.0,INR,335817.9
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,UltraTech Cement Limited,3256163762176,11069.0,INR,325616.4
HAL.NS,HINDUSTAN AERONAUTICS LTD,Hindustan Aeronautics Limited,3188117209088,4767.1,INR,318811.7
NTPC.NS,NTPC LTD,NTPC Limited,3146568433664,324.5,INR,314656.8
JSWSTEEL.NS,JSW STEEL LIMITED,JSW Steel Limited,3102483152896,1271.0,INR,310248.3
