symbol,pole_date,pole_low,pole_high,pole_high_date,pole_gain,flag_bars,flag_end_date,rail,rail_slope_pct,sweep_date,sweep_low,sweep_below_pct,entry_date,entry,stop,target,risk_pct,reward_R,atr,status,bars_since_entry,vol_x20,sweep_bars,sweep_red,sweep_red_frac,sweep_vol_x20,sweep_vol_vs_drift,sweep_close_pos,sweep_leg_pct,turnover_cr,entry_gt_prior_high,entry_gt_flush_high,entry_vs_rail_pct,rebased,rebased_from,R_voided,outcome,R,ret_horizon,mfe,mae,bars_held,R_struct,outcome_struct,bars_held_struct,entry_idx,sweep_idx,flag_end_idx,pole_idx,trigger_mode,exit_date_void,voided_setups,shortName,mcap_cr,watchlist,year,nifty_bull
SASKEN.NS,2016-03-14,231.15,430.9,2016-03-15,0.8642,7,2016-03-28,386.4,0.252,2016-05-09,312.5,-19.13,2016-03-30,351.7,302.37,430.9,14.03,1.61,28.36,DONE,,0.72,28,20,0.71,1.43,1.18,0.33,-10.83,4.06,False,False,,0,,0.0,voided,-0.43,-0.0934,0.0532,-0.1442,3,,,,59,57,-1,-1,first_bullish,2016-04-04,,SASKEN TECHNOLOGIES LTD,2638.5,False,2016,False
SASKEN.NS,2016-03-14,231.15,430.9,2016-03-15,0.8642,7,2016-03-28,386.4,0.252,2016-05-09,312.5,-19.13,2016-04-06,338.4,301.29,430.9,10.97,2.49,22.41,DONE,,0.45,28,20,0.71,1.43,1.18,0.33,-10.83,4.06,False,False,,0,,0.0,voided,-0.59,-0.0536,0.0946,-0.1105,18,,,,64,57,-1,-1,first_bullish,2016-05-05,,SASKEN TECHNOLOGIES LTD,2638.5,False,2016,False
ELECTHERM.NS,2016-04-12,43.6,93.85,2016-04-21,1.1525,6,2016-04-29,73.0,-2.747,2016-05-31,52.25,-28.42,2016-05-02,72.25,58.49,93.85,19.04,1.57,7.43,DONE,,0.33,23,15,0.65,3.54,7.85,0.39,-6.78,2.06,False,False,,0,,0.0,voided,-0.41,0.1439,0.2976,-0.2775,9,,,,79,78,-1,-1,first_bullish,2016-05-13,,ELECTROTHERM (I) LTD.,1131.2,False,2016,False
ELECTHERM.NS,2016-04-12,43.6,93.85,2016-04-21,1.1525,6,2016-04-29,73.0,-2.747,2016-06-08,52.2,-28.49,2016-05-04,81.45,48.48,93.85,40.48,0.38,7.44,DONE,,1.34,29,19,0.66,3.54,7.85,0.44,-6.78,2.06,False,False,,0,,0.0,voided,-0.45,0.1486,0.151,-0.3591,7,,,,81,78,-1,-1,rail_reclaim,2016-05-13,,ELECTROTHERM (I) LTD.,1131.2,False,2016,False
SIGMAADV.NS,2016-04-07,5.36,10.14,2016-04-26,0.8898,6,2016-05-04,9.63,-0.861,2016-05-25,7.94,-17.54,2016-05-05,9.59,7.67,10.14,20.02,0.29,0.54,DONE,,0.87,16,8,0.5,2.46,1.97,1.0,-4.83,20.17,False,False,,0,,0.0,voided,-0.66,0.0613,0.5898,-0.1721,13,,,,82,81,-1,-1,first_bullish,2016-05-24,,SIGMA ADVANCED SYSTEM LTD,16736.6,False,2016,False
SIGMAADV.NS,2016-04-07,5.36,10.14,2016-04-26,0.8898,6,2016-05-04,9.63,-0.861,2016-05-25,7.94,-17.54,2016-05-09,10.52,7.67,10.14,27.09,-0.13,0.53,DONE,,0.1,16,8,0.5,2.46,1.97,1.0,-4.83,20.17,False,False,,0,,0.0,voided,-0.77,0.0036,0.4492,-0.2453,11,,,,84,81,-1,-1,rail_reclaim,2016-05-24,,SIGMA ADVANCED SYSTEM LTD,16736.6,False,2016,False
KCP.NS,2016-03-21,67.3,87.9,2016-04-06,0.3061,22,2016-05-11,79.6,-0.261,2016-05-24,76.25,-4.21,2016-05-12,78.65,74.86,87.9,4.82,2.44,2.78,DONE,,1.21,10,8,0.8,2.74,4.8,0.19,-3.48,1.82,False,False,,0,,0.0,voided,-0.47,0.1163,0.3668,-0.0305,8,,,,87,86,-1,-1,first_bullish,2016-05-24,,KCP LTD,2052.2,False,2016,False
ELECTHERM.NS,2016-04-12,43.6,93.85,2016-04-21,1.1525,6,2016-04-29,73.0,-2.747,2016-05-31,52.25,-28.42,2016-05-18,66.65,53.56,93.85,19.64,2.08,7.07,DONE,,0.29,23,15,0.65,3.54,7.85,0.39,-6.78,2.06,False,False,,0,,0.0,voided,-0.38,0.138,0.6549,-0.2168,2,,,,91,78,-1,-1,first_bullish,2016-05-20,,ELECTROTHERM (I) LTD.,1131.2,False,2016,False
LAMBODHARA.NS,2016-03-30,115.35,176.8,2016-04-01,0.5327,28,2016-05-16,115.05,-0.562,2016-05-16,91.25,-20.69,2016-05-18,112.05,102.6,176.8,8.43,6.85,4.8,DONE,,1.55,0,0,,,,,,0.51,False,False,,0,,0.0,voided,-0.4,-0.0031,0.1606,-0.0977,1,,,,91,89,-1,-1,first_bullish,2016-05-19,,LAMBODHARA TEXTILES LTD.,144.7,True,2016,False
SASKEN.NS,2016-03-14,231.15,430.9,2016-03-15,0.8642,7,2016-03-28,386.4,0.252,2016-05-09,312.5,-19.13,2016-05-18,328.45,306.69,430.9,6.62,4.71,11.61,DONE,,0.73,28,20,0.71,1.43,1.18,0.33,-10.83,4.06,True,True,-15.0,2,"2016-03-30,2016-04-06",-1.02,stopped,-1.0,-0.012,0.1874,-0.0836,27,-1.0,stopped,27.0,91,57,57,49,first_bullish,,"[Setup(symbol='SASKEN.NS', pole_date='2016-03-14', pole_low=231.15, pole_high=430.9, pole_high_date='2016-03-15', pole_gain=0.8642, flag_bars=7, flag_end_date='2016-03-28', rail=386.4, rail_slope_pct=0.252, sweep_date='2016-05-09', sweep_low=312.5, sweep_below_pct=-19.13, entry_date='2016-03-30', entry=351.7, stop=302.37, target=430.9, risk_pct=14.03, reward_R=1.61, atr=28.36, status='DONE', bars_since_entry=nan, vol_x20=0.72, sweep_bars=28, sweep_red=20, sweep_red_frac=0.71, sweep_vol_x20=1.43, sweep_vol_vs_drift=1.18, sweep_close_pos=0.33, sweep_leg_pct=-10.83, turnover_cr=4.06, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.43, ret_horizon=-0.0934, mfe=0.0532, mae=-0.1442, bars_held=3, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=59, sweep_idx=57, flag_end_idx=-1, pole_idx=-1), Setup(symbol='SASKEN.NS', pole_date='2016-03-14', pole_low=231.15, pole_high=430.9, pole_high_date='2016-03-15', pole_gain=0.8642, flag_bars=7, flag_end_date='2016-03-28', rail=386.4, rail_slope_pct=0.252, sweep_date='2016-05-09', sweep_low=312.5, sweep_below_pct=-19.13, entry_date='2016-04-06', entry=338.4, stop=301.29, target=430.9, risk_pct=10.97, reward_R=2.49, atr=22.41, status='DONE', bars_since_entry=nan, vol_x20=0.45, sweep_bars=28, sweep_red=20, sweep_red_frac=0.71, sweep_vol_x20=1.43, sweep_vol_vs_drift=1.18, sweep_close_pos=0.33, sweep_leg_pct=-10.83, turnover_cr=4.06, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.59, ret_horizon=-0.0536, mfe=0.0946, mae=-0.1105, bars_held=18, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=64, sweep_idx=57, flag_end_idx=-1, pole_idx=-1)]",SASKEN TECHNOLOGIES LTD,2638.5,False,2016,False
