symbol,pole_date,pole_low,pole_high,pole_high_date,pole_gain,flag_bars,flag_end_date,rail,rail_slope_pct,sweep_date,sweep_low,sweep_below_pct,entry_date,entry,stop,target,risk_pct,reward_R,atr,status,bars_since_entry,vol_x20,sweep_bars,sweep_red,sweep_red_frac,sweep_vol_x20,sweep_vol_vs_drift,sweep_close_pos,sweep_leg_pct,turnover_cr,entry_gt_prior_high,entry_gt_flush_high,entry_vs_rail_pct,rebased,rebased_from,R_voided,outcome,R,ret_horizon,mfe,mae,bars_held,R_struct,outcome_struct,bars_held_struct,entry_idx,sweep_idx,flag_end_idx,pole_idx,rail_bars,setup_bars,flush_bars,trigger_mode,last_close,pnl_pct,shortName,mcap_cr,watchlist,year,nifty_bull
KPRMILL.NS,2026-06-18,1019.3,1334.0,2026-06-24,0.3087,20,2026-07-22,1089.1,-0.287,2026-07-24,1015.0,-6.8,2026-07-24,1061.5,994.3,1334.0,6.33,4.06,41.4,DONE,,1.05,3,2,0.67,1.05,4.4,0.91,-3.28,28.4,False,False,-2.53,0,,0.0,open,1.1190468924386152,0.1176,0.1285,-0.0366,42,,open,42,2610,2608,2608,2584,25,27,3,first_bullish,1136.699951171875,0.07084310049163922,KPR MILL LTD.,38150.2,False,2026,False
JARO.NS,2026-05-13,393.5,593.7,2026-05-25,0.5088,56,2026-08-11,450.1,-0.437,2026-08-12,435.1,-3.33,2026-08-12,444.4,427.29,593.7,3.85,8.73,15.61,DONE,,0.61,2,1,0.5,1.37,2.32,0.52,-3.37,5.33,False,False,-1.27,0,,0.0,open,1.0578609000584493,0.0407,0.0917,-0.0257,30,,open,30,214,213,213,149,65,66,2,first_bullish,462.5,0.040729072907290886,JARO INS OF TEC MG N RE L,1019.3,False,2026,False
EMSLIMITED.NS,2026-06-22,294.5,453.0,2026-06-23,0.5382,37,2026-08-13,380.0,-0.141,2026-08-17,358.05,-5.78,2026-08-17,369.1,350.57,453.0,5.02,4.53,14.97,DONE,,1.75,3,1,0.33,1.75,5.98,0.57,-3.36,23.25,False,False,-2.87,0,,0.0,open,-0.14840765766240654,-0.0075,0.1191,-0.0373,27,,open,27,718,716,716,678,39,41,3,first_bullish,366.3500061035156,-0.007450538868827961,EMS LIMITED,1991.3,False,2026,False
UEL.NS,2026-07-31,117.51,284.2,2026-08-11,1.4185,6,2026-08-19,211.36,-4.172,2026-08-26,157.1,-25.67,2026-08-26,171.74,150.8,284.2,12.19,5.37,12.6,DONE,,0.95,6,1,0.17,0.95,5.69,1.0,-5.0,0.56,True,False,-18.75,0,,0.0,open,0.9608405258047543,0.1172,0.4312,0.05,20,,open,20,2632,2627,2627,2614,14,19,6,first_bullish,191.86000061035156,0.11715384074968882,UJAAS ENERGY LIMITED,2509.1,False,2026,False
ZENSARTECH.NS,2026-07-03,423.0,558.0,2026-07-14,0.3191,41,2026-09-09,448.0,-0.337,2026-09-11,421.0,-6.03,2026-09-16,450.15,412.86,558.0,8.28,2.89,16.27,DONE,,3.95,3,3,1.0,1.42,4.75,0.36,-3.02,153.05,False,True,0.48,0,,0.0,open,-0.5202467149369803,-0.0431,0.0,-0.0523,5,,open,5,2648,2643,2643,2595,49,54,6,first_bullish,430.75,-0.04309674552926801,ZENSAR TECHNOLOGIES  LTD,9583.4,False,2026,False
ITDC.NS,2026-07-07,582.9,822.0,2026-07-20,0.4102,30,2026-08-31,657.0,-0.347,2026-09-09,627.1,-4.55,2026-09-16,656.75,612.27,822.0,6.77,3.72,29.65,DONE,,0.16,8,5,0.62,0.84,6.85,0.27,-3.31,55.59,False,True,-0.04,0,,0.0,open,1.0319250093089587,0.0699,0.1019,-0.0148,5,,open,5,2402,2390,2390,2351,40,52,13,first_bullish,702.6500244140625,0.0698896450918347,INDIA TOUR. DEV. CO. LTD.,5881.6,False,2026,False
MARATHON.NS,2026-08-24,344.05,461.5,2026-09-07,0.3414,6,2026-09-15,428.0,-0.181,2026-09-16,397.25,-7.18,2026-09-16,415.05,388.05,461.5,6.51,1.72,18.4,DONE,,0.2,2,1,0.5,0.2,0.92,0.79,-4.93,6.9,False,False,-3.03,0,,0.0,open,0.16111088505497642,0.0105,0.0283,-0.0236,5,,open,5,2465,2464,2464,2448,17,18,2,first_bullish,419.3999938964844,0.010480650274627967,MARATHON NXTGEN REALT LTD,2770.6,False,2026,False
BALUFORGE.NS,2026-08-24,441.55,650.0,2026-08-31,0.4721,11,2026-09-15,523.3,-1.669,2026-09-16,470.0,-10.19,2026-09-17,501.6,456.01,650.0,9.09,3.26,27.98,DONE,,0.36,2,2,1.0,0.4,0.94,0.44,-6.6,70.35,True,True,-4.15,0,,0.0,open,0.10199605176573753,0.0093,0.0556,-0.0011,4,,open,4,596,594,594,578,17,19,3,first_bullish,506.25,0.009270334928229707,BALU FORGE INDUSTRIES LTD,6046.5,False,2026,False
LAMBODHARA.NS,2026-08-24,105.5,147.19,2026-08-27,0.3952,13,2026-09-16,127.37,-0.492,2026-09-16,116.6,-8.46,2026-09-18,120.21,113.06,147.19,5.94,3.78,7.07,DONE,,0.07,1,1,1.0,1.14,6.28,0.08,-9.64,0.29,False,False,-5.62,0,,0.0,open,-0.03916079647891089,-0.0023,0.0307,-0.0386,3,-0.58,invalidated,2,2648,2646,2646,2630,17,19,3,first_bullish,119.93000030517578,-0.0023292545946611565,LAMBODHARA TEXTILES LTD.,144.7,True,2026,False
RUBICON.NS,2026-08-17,1461.6,1899.0,2026-08-28,0.2993,17,2026-09-22,1712.1,-0.145,2026-09-23,1632.2,-4.67,2026-09-23,1674.8,1598.84,1899.0,4.54,2.95,66.71,DONE,,2.21,2,1,0.5,2.21,4.13,0.85,-3.54,45.51,False,False,-2.18,0,,0.0,open,6.428136525207309e-07,0.0,,,0,,open,0,233,232,232,206,27,28,2,first_bullish,1674.800048828125,2.9154600511560602e-08,RUBICON RESEARCH LIMITED,27744.8,False,2026,False
