feature,bucket,label,train_n,train_win,train_avgR,train_medR,train_med30,train_avg30,train_target,train_stopped,train_payoff,test_n,test_win,test_avgR,test_medR,test_med30,test_avg30,test_target,test_stopped,test_payoff,edge_train,edge_test
mcap_cr,"(50000.0, 1000000000.0]",market cap (Rs cr),65,0.354,0.109,-1.0,-0.0016,0.0041,0.308,0.646,2.13,32,0.562,0.777,0.69,0.0611,0.0728,0.5,0.438,2.16,-0.175,0.619
vol_x20,"(0.8, 1.2]",volume on the trigger bar vs 20-day avg,103,0.447,0.513,-1.0,0.014,0.0278,0.398,0.524,2.44,114,0.465,0.515,-1.0,0.0435,0.0702,0.404,0.526,2.27,0.229,0.357
rail_slope_pct,"(0.0, 0.2]",slope of the drift floor (%/bar),48,0.396,0.127,-1.0,0.0054,0.0185,0.396,0.562,1.86,84,0.512,0.446,0.52,0.0365,0.078,0.452,0.476,1.84,-0.157,0.288
flag_bars,"(25, 40]",drift length in bars,106,0.387,0.418,-1.0,0.017,0.0391,0.283,0.594,2.69,143,0.399,0.437,-1.0,0.0346,0.0549,0.329,0.587,2.62,0.134,0.279
mcap_cr,"(15000.0, 50000.0]",market cap (Rs cr),105,0.381,0.527,-1.0,0.0257,0.0431,0.352,0.59,3.05,112,0.455,0.415,-1.0,0.0307,0.0562,0.393,0.527,2.13,0.243,0.257
atr,"(100.0, 1000000000.0]",ATR in rupees,25,0.4,0.614,-1.0,-0.0291,-0.0191,0.32,0.56,3.09,56,0.482,0.369,-0.79,0.0361,0.0525,0.429,0.5,1.85,0.33,0.211
flag_bars,"(40, 999]",drift length in bars,84,0.31,0.361,-1.0,0.0173,0.0116,0.274,0.679,3.4,94,0.394,0.369,-1.0,0.034,0.0798,0.298,0.585,2.5,0.077,0.211
atr,"(40.0, 100.0]",ATR in rupees,45,0.356,0.178,-1.0,0.0347,0.0387,0.311,0.6,2.34,112,0.402,0.355,-1.0,0.0068,0.0133,0.321,0.598,2.37,-0.106,0.197
vol_x20,"(2.0, 3.0]",volume on the trigger bar vs 20-day avg,26,0.462,0.044,-0.46,0.0388,0.0308,0.385,0.462,1.27,21,0.429,0.354,-1.0,0.0707,0.0683,0.381,0.571,2.16,-0.24,0.196
pole_gain,"(0.7, 99.0]",pole size (low -> high),107,0.308,0.065,-1.0,0.0211,0.0226,0.196,0.682,2.46,81,0.407,0.35,-1.0,0.0437,0.0686,0.284,0.593,2.31,-0.219,0.192
